af:decimal:latn:normal:other:default:#,##0.###
ar:decimal:latn:long:few:1000000000000:0 ترليون
ar:decimal:latn:long:many:1000000000000:0 ترليون
ar:decimal:latn:long:other:1000000000000:0 ترليون
ar:decimal:latn:long:zero:10000000000000:00 ترليون
ar:decimal:latn:long:one:10000000000000:00 ترليون
ar:decimal:latn:long:two:10000000000000:00 ترليون
ar:decimal:latn:long:few:10000000000000:00 ترليون
ar:decimal:latn:long:many:10000000000000:00 ترليون
ar:decimal:latn:long:other:10000000000000:00 ترليون
ar:decimal:latn:long:zero:100000000000000:000 ترليون
ar:decimal:latn:long:one:100000000000000:000 ترليون
ar:decimal:latn:long:two:100000000000000:000 ترليون
ar:decimal:latn:long:few:100000000000000:000 ترليون
ar:decimal:latn:long:many:100000000000000:000 ترليون
ar:decimal:latn:long:other:100000000000000:000 ترليون
ar:decimal:latn:short:zero:1000:0 ألف
ar:decimal:latn:short:one:1000:0 ألف
ar:decimal:latn:short:two:1000:0 ألف
ar:decimal:latn:short:few:1000:0 آلاف
ar:decimal:latn:short:many:1000:0 ألف
ar:decimal:latn:short:other:1000:0 ألف
ar:decimal:latn:short:zero:10000:00 ألف
ar:decimal:latn:short:one:10000:00 ألف
ar:decimal:latn:short:two:10000:00 ألف
ar:decimal:latn:short:few:10000:00 ألف
ar:decimal:latn:short:many:10000:00 ألف
ar:decimal:latn:short:other:10000:00 ألف
ar:decimal:latn:short:zero:100000:000 ألف
ar:decimal:latn:short:one:100000:000 ألف
ar:decimal:latn:short:two:100000:000 ألف
ar:decimal:latn:short:few:100000:000 ألف
ar:decimal:latn:short:many:100000:000 ألف
ar:decimal:latn:short:other:100000:000 ألف
ar:decimal:latn:short:zero:1000000:0 مليون
ar:decimal:latn:short:one:1000000:0 مليون
ar:decimal:latn:short:two:1000000:0 مليون
ar:decimal:latn:short:few:1000000:0 مليون
ar:decimal:latn:short:many:1000000:0 مليون
ar:decimal:latn:short:other:1000000:0 مليون
ar:decimal:latn:short:zero:10000000:00 مليون
ar:decimal:latn:short:one:10000000:00 مليون
ar:decimal:latn:short:two:10000000:00 مليون
ar:decimal:latn:short:few:10000000:00 مليون
ar:decimal:latn:short:many:10000000:00 مليون
ar:decimal:latn:short:other:10000000:00 مليون
ar:decimal:latn:short:zero:100000000:000 مليون
ar:decimal:latn:short:one:100000000:000 مليون
ar:decimal:latn:short:two:100000000:000 مليون
ar:decimal:latn:short:few:100000000:000 مليون
ar:decimal:latn:short:many:100000000:000 مليون
ar:decimal:latn:short:other:100000000:000 مليون
ar:decimal:latn:short:zero:1000000000:0 مليار
ar:decimal:latn:short:one:1000000000:0 مليار
ar:decimal:latn:short:two:1000000000:0 مليار
ar:decimal:latn:short:few:1000000000:0 مليار
